iter	Logloss
0	0.508308469
1	0.372601135
2	0.3069112314
3	0.2670198958
4	0.2377023414
5	0.2136031874
6	0.2006446382
7	0.1841677211
8	0.1754967905
9	0.1705091936
10	0.1615778066
11	0.1569164912
12	0.1508052107
13	0.1472038906
14	0.1442516994
15	0.1417913876
16	0.1382063434
17	0.1367088903
18	0.1346390084
19	0.1315186538
20	0.1299259019
21	0.1284457438
22	0.1268734886
23	0.1243428428
24	0.1228111421
25	0.1217926205
26	0.1211223835
27	0.1201255013
28	0.1186722878
29	0.1179160192
30	0.1166219896
31	0.1159849945
32	0.1132824289
33	0.1124527127
34	0.1120221174
35	0.1104812403
36	0.1099383896
37	0.1094139787
38	0.1090599957
39	0.1087779636
40	0.1084762057
41	0.1072861642
42	0.106982999
43	0.1063810926
44	0.1056635267
45	0.1051481588
46	0.104641866
47	0.1036979219
48	0.1028362718
49	0.1025148139
50	0.1023043091
51	0.1017469544
52	0.1005062521
53	0.09996356638
54	0.09976956352
55	0.09930569538
56	0.09902473705
57	0.09873871961
58	0.09780564104
59	0.09745502899
60	0.09701716883
61	0.09671108912
62	0.09649887724
63	0.09628684726
64	0.09608869193
65	0.09578638052
66	0.09546009488
67	0.09511521934
68	0.09480416
69	0.09449246108
70	0.0942772903
71	0.09398094594
72	0.09375519274
73	0.09280339869
74	0.09255498795
75	0.0922630602
76	0.0921036577
77	0.09202759895
78	0.09188192858
79	0.0916985282
80	0.09159947015
81	0.09132993307
82	0.09112828868
83	0.09095728908
84	0.09062383861
85	0.09041595635
86	0.09015638625
87	0.08995945541
88	0.08973936876
89	0.08953016996
90	0.08900955083
91	0.08875111333
92	0.08845978373
93	0.08832514958
94	0.08808430426
95	0.08792531055
96	0.08775443776
97	0.08763402684
98	0.08753706429
99	0.08737991331
100	0.08720928043
101	0.087053412
102	0.08691169224
103	0.08680027708
104	0.08670104878
105	0.08661647099
106	0.08652524786
107	0.0864005049
108	0.08614405949
109	0.08590472544
110	0.08559791854
111	0.08548103842
112	0.08540450772
113	0.08523389045
114	0.08506114572
115	0.08486170969
116	0.08451717247
117	0.08428417391
118	0.08412177733
119	0.0840438798
120	0.08394501965
121	0.08382459634
122	0.0834670942
123	0.08336627927
124	0.08328919253
125	0.08313321853
126	0.08299724812
127	0.08286497993
128	0.08273718638
129	0.08268353386
130	0.08245684142
131	0.08231520793
132	0.08219280864
133	0.08211324626
134	0.08205405563
135	0.0819656415
136	0.08184441599
137	0.08171079728
138	0.0816690927
139	0.08158881842
140	0.08134786651
141	0.08123495008
142	0.0811737774
143	0.08107250364
144	0.08103673815
145	0.08089725038
146	0.08087147251
147	0.08074289443
148	0.08065487503
149	0.0804694769
150	0.08038464564
151	0.0802348477
152	0.08013154303
153	0.08009298796
154	0.0800608431
155	0.0799757142
156	0.07988650037
157	0.07980944376
158	0.07970002553
159	0.07944913152
160	0.07941353921
161	0.07929573662
162	0.07920384673
163	0.07912479402
164	0.07907256572
165	0.07893746877
166	0.07884635527
167	0.07866659586
168	0.07854761625
169	0.07844051618
170	0.07836070963
171	0.07828048175
172	0.07815187796
173	0.07805046726
174	0.07798615527
175	0.07796519302
176	0.0777977257
177	0.07765043336
178	0.07762043575
179	0.07756748057
180	0.07751681136
181	0.07747206139
182	0.07740422334
183	0.07728218384
184	0.07717631822
185	0.07708949918
186	0.07703054541
187	0.07696383539
188	0.0768962168
189	0.07686664813
190	0.07677710954
191	0.07674046084
192	0.07664581586
193	0.07656531969
194	0.07645317885
195	0.07632242358
196	0.07624052426
197	0.0761753566
198	0.0760541586
199	0.07597818792
200	0.07593135548
201	0.07583589315
202	0.07573396235
203	0.07566596222
204	0.07557330461
205	0.0755121817
206	0.07545176543
207	0.07540803086
208	0.07538200236
209	0.07528803652
210	0.0752408889
211	0.07522747811
212	0.07516364766
213	0.07515430454
214	0.07511719798
215	0.07504614635
216	0.07493164518
217	0.07490803128
218	0.07474299686
219	0.07470598702
220	0.07463994537
221	0.07455970743
222	0.07440042286
223	0.07429697345
224	0.07420363394
225	0.07413869285
226	0.07406833231
227	0.07398899688
228	0.07387689598
229	0.0738043704
230	0.07374785191
231	0.0736902248
232	0.07360726664
233	0.07355124329
234	0.07353063187
235	0.07343042826
236	0.07338127635
237	0.07327127391
238	0.07313083576
239	0.07304939432
240	0.07299938667
241	0.07296348024
242	0.07291773271
243	0.07285231685
244	0.07272530123
245	0.07264985428
246	0.0726060427
247	0.07259491419
248	0.0724658739
249	0.0724349479
